fecha,sensor,minima,maxima,actual
22/05/2025 06:18:29,temperatura,17,29,27.4
22/05/2025 06:18:29,humedad,50,80,45
22/05/2025 06:18:29,iluminacion,200,1100,198
22/05/2025 06:18:39,temperatura,17,29,27.4
22/05/2025 06:18:39,humedad,50,80,44
22/05/2025 06:18:39,iluminacion,200,1100,198
22/05/2025 06:18:49,temperatura,17,29,27.4
22/05/2025 06:18:49,humedad,50,80,43
22/05/2025 06:18:49,iluminacion,200,1100,195
22/05/2025 06:18:59,temperatura,17,29,27.4
22/05/2025 06:18:59,humedad,50,80,44
22/05/2025 06:18:59,iluminacion,200,1100,199
22/05/2025 06:19:09,temperatura,17,29,27.5
22/05/2025 06:19:09,humedad,50,80,45
22/05/2025 06:19:09,iluminacion,200,1100,201
22/05/2025 06:19:19,temperatura,17,29,27.5
22/05/2025 06:19:19,humedad,50,80,44
22/05/2025 06:19:19,iluminacion,200,1100,199
22/05/2025 06:19:29,temperatura,17,29,27.5
22/05/2025 06:19:29,humedad,50,80,44
22/05/2025 06:19:29,iluminacion,200,1100,197
22/05/2025 06:19:39,temperatura,17,29,27.5
22/05/2025 06:19:39,humedad,50,80,43
22/05/2025 06:19:39,iluminacion,200,1100,198
22/05/2025 06:19:49,temperatura,17,29,27.5
22/05/2025 06:19:49,humedad,50,80,43
22/05/2025 06:19:49,iluminacion,200,1100,198
22/05/2025 06:19:59,temperatura,17,29,27.5
22/05/2025 06:19:59,humedad,50,80,44
22/05/2025 06:19:59,iluminacion,200,1100,203
22/05/2025 06:20:09,temperatura,17,29,27.6
22/05/2025 06:20:09,humedad,50,80,44
22/05/2025 06:20:09,iluminacion,200,1100,202
22/05/2025 06:20:19,temperatura,17,29,27.6
22/05/2025 06:20:19,humedad,50,80,44
22/05/2025 06:20:19,iluminacion,200,1100,202
22/05/2025 06:20:29,temperatura,17,29,27.7
22/05/2025 06:20:29,humedad,50,80,43
22/05/2025 06:20:29,iluminacion,200,1100,199
22/05/2025 06:20:39,temperatura,17,29,27.6
22/05/2025 06:20:39,humedad,50,80,43
22/05/2025 06:20:39,iluminacion,200,1100,202
22/05/2025 06:20:49,temperatura,17,29,27.6
22/05/2025 06:20:49,humedad,50,80,43
22/05/2025 06:20:49,iluminacion,200,1100,203
